First name,Last name,Preferred title,Overview,Position,Department,Individual
Laura,Osborne,Lecturer,,Lecturer,Psychology,https://scholars.library.tamu.edu/vivo/display/nb12648da
Lisa,Osborne,Associate Professor of the Practice,,Associate Professor of the Practice,Multidisciplinary Engineering,https://scholars.library.tamu.edu/vivo/display/n28aed723
Jana,Osbourn,Regional Program Leader - Family and Community Health,,Regional Program Leader - Family and Community Health,Uvalde Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n4f7a7edd
Wesley,Osburn,Associate Professor,,Associate Professor||Associate Professor,Animal Science||Nutrition,https://scholars.library.tamu.edu/vivo/display/n3f3ac4da
Eliphas,Osinde,Adjunct Assistant Professor,,Adjunct Assistant Professor,Diagnostic Science,https://scholars.library.tamu.edu/vivo/display/n8159b929
Javier,Osorio Leyton,Research Scientist,,Research Scientist||Research Scientist,Ecology and Conservation Biology||Temple Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/na4e1f86d
Natela,Ostrovskaya,Senior Lecturer,,Senior Lecturer,Nuclear Engineering,https://scholars.library.tamu.edu/vivo/display/n9c1133c1
John,Oswald,Professor,,Professor,Entomology,https://scholars.library.tamu.edu/vivo/display/ne237b543
Rebecca,Ottman,Instructional Assistant Professor,,Instructional Assistant Professor,Liberal Studies,https://scholars.library.tamu.edu/vivo/display/ne65f2e25
Joe,Outlaw,Professor and Extension Specialist,"Dr. Outlaw frequently interacts with members of Congress and key agricultural committee staff to provide feedback on the likely consequences of agricultural policy changes.  His extension education and applied research activities are focused on assessing the impacts of farm programs, risk management tools, renewable energy, and climate change legislation on U.S. agricultural operations.",Professor and Extension Specialist,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n10a47c53
Hongjiao,Ouyang,Associate Professor,,Associate Professor,Endodontics,https://scholars.library.tamu.edu/vivo/display/n9cfc3ef9
Dianna,Ovbey,Lecturer,,Lecturer,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/nf323d16f
Defne,Over,Assistant Professor,,Assistant Professor,Sociology,https://scholars.library.tamu.edu/vivo/display/nb241a361
Thomas,Overbye,Professor,"My research interests include power system analysis and simulations, visualization of power system information, big data and cyber security applied to power systems, power system aspects of geomagnetic disturbances and EMP.",Professor,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/n4cf9bc6e
John,Overman,TTI Research Scientist,,TTI Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/ncb99a33b
Christopher,Owens,Assistant Professor,"I am an Assistant Professor in the Department of Health and Kinesiology, Health Education Division. I am an applied health behavior scientist who studies (1) the sexual, mental, and social health of rural adolescent and adult LGBTQ people, (2) rural HIV prevention/care, and (3) applied health behavior theory. Although I use various designs, my formal training is in mixed method studies and qualitative studies.",Assistant Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/nf591ac3c
Portia,Owusu,Visiting Assistant Professor,,Visiting Assistant Professor,English,https://scholars.library.tamu.edu/vivo/display/n59d27d2a
Oleg,Ozerov,Professor,"The projects in our group typically involve transition metal or main group organometallic chemistry but are diverse and cover a wide variety of synthetic and mechanistic work. The ideal-case research scheme consists of: 1) discovery of a new reaction or a structural environment; 2) demonstration of unusual reactivity, structural, or electronic novelty; 3) application of these findings to develop a new catalytic process. The training of students in our group is not built around a narrow research theme but instead aims to help students mature into problem-solving practicing synthetic chemists through exposure to diverse research experiences.",Professor,Chemistry,https://scholars.library.tamu.edu/vivo/display/n8f8f768d
Stephanie,Paal,Assistant Professor,,Assistant Professor,Civil Engineering,https://scholars.library.tamu.edu/vivo/display/n21ca641f
Kathleen,Pace,Clinical Assistant Professor,,Clinical Assistant Professor,Pediatric Dentistry,https://scholars.library.tamu.edu/vivo/display/n5f657a2c
William,Pace,Executive Professor,"My research interests focus on organizing work, in the form of project management methodologies. Using the lens of complex adaptive systems, I am interested in the elements of methodologies that are deployed in order to deliver consistent project success. These elements include scheduling, risk analysis/management, scope identification and control.",Executive Professor||Faculty Affiliate,Energy Institute||Management,https://scholars.library.tamu.edu/vivo/display/n945511e0
Alexander,Pacek,Professor,,Professor,Political Science,https://scholars.library.tamu.edu/vivo/display/nc8715506
Mark,Packard,Professor,,Professor,Psychological and Brain Sciences,https://scholars.library.tamu.edu/vivo/display/n8c1e0820
Yolanda,Padron,Professor,,Professor,Educational Psychology,https://scholars.library.tamu.edu/vivo/display/nb8074f00
Ramona,Paetzold,Professor,"My current research interests are at the micro level, with particular emphasis on attachment theory and its relationship to constructs that affect human behavior in organizations, in legal issues, and more generally.",Professor,Management,https://scholars.library.tamu.edu/vivo/display/n2b7cc6b0
Robin,Page,Assistant Professor,"My focus is maternal health disparities. I have explored protective factors against preterm birth in Mexican origin women, in particular, those with low levels of acculturation.  One aspect that I am giving particular attention is religiosity/spirituality as a buffer against stress.  I am using telomere length as a biomarker for stress.<br /><br />I am also interested in perinatal mental health and community-level interventions to increase access.",Assistant Professor,College of Nursing,https://scholars.library.tamu.edu/vivo/display/n5ee635f4
Prabhakar,Pagilla,Professor,"My research focuses on Modeling and control of roll-to-roll manufacturing systems, robotics/mechatronics, autonomous vehicles, and large-scale nonlinear dynamic systems.",Associate Department Head||James J. Cain Professor II||Professor,Mechanical Engineering||Mechanical Engineering||Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n86b54519
Nataliya,Pakhotina,Lecturer,,Lecturer,Economics,https://scholars.library.tamu.edu/vivo/display/n194fc3c7
Srinath,Palakurthi,Professor,,Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/nafb53cb2
Alan,Palazzolo,Professor,"I have research interests in Rotordynamics, Magnetic Bearings, Active Vibration and Noise Control, Fluid Film Bearings, Vibrations, Finite and Boundary Elements, Seal and Impeller Leakage Flow, Piping Systems, Machine Design, Flywheels, Machinery Couplings, Expert Systems, Microgravity Vibration Isolation, Electromechanical Systems, CFD flow in pumps and compressors, Heart pumps (VAD), drillstring vibration, and RO desalination.",Faculty Affiliate||Professor,Mechanical Engineering||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n04155d20
Samuel,Palermo,Professor,"My research focuses on developing novel, energy-efficient, high-performance mixed-signal integrated circuit architectures in nanometer CMOS technologies. Specifically, my research interests cover the following areas:<br /><br />1) High-speed electrical and optical chip-to-chip and on-chip interconnect architectures, <br /><br />2) Clocking and synchronization circuits and systems, <br /><br />3) Robust analog circuit design with digital-assistance techniques to address increasing process variability in highly-scaled CMOS technologies, <br /><br />4) Sensor circuits for emerging applications.",Professor,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/n394dc57a
Marco,Palma,Professor,"Dr. Marco A Palma is Professor in the Department of Agricultural Economics at Texas A&M University. His areas of interest are consumer economics, food choices, experimental and behavioral economics and neuroeconomics. Dr Palma is the director of the Human Behavior Laboratory (http://hbl.tamu.edu), a transdisciplinary facility that integrates state of the art technology to measure biometric and neurophysiological responses of human decision making. The HBL aims to facilitate the integration of neurophysiological responses to traditional methods of studying human behavior in the social sciences. Specifically, it provides access to state of the art equipment to simultaneously collect psychophysiological data, including eye tracking, facial expression analysis to assess human emotions, neural signals (electroencephalography), galvanic skin response (GSR) heart and respiration rates through integrated stimulus presentation platforms.",Professor,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/nba337537
Clare,Palmer,Professor,,Professor,Philosophy,https://scholars.library.tamu.edu/vivo/display/n0387e7c9
Richard,Palmer,Senior Lecturer,,Senior Lecturer,Construction Science,https://scholars.library.tamu.edu/vivo/display/n1e59e4ac
Edward,Palos,Clinical Assistant Professor,,Clinical Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/nca6ac747
Heili,Pals,Associate Professor,,Associate Professor,Sociology,https://scholars.library.tamu.edu/vivo/display/n4d39bd6f
Sunay,Palsole,Assistant Vice Chancellor,,Assistant Vice Chancellor||Faculty affiliate,College of Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n12a1c741
Heng,Pan,Associate Professor,"Additive manufacturing, Laser based micro/nano-manufacturing, High-throughput nano-manufacturing, Energy devices and battery manufacturing, Flexible and stretchable electronics manufacturing, Multi-material and multi-function integration, Laser-material interactions, Multi-scale modeling of transport phenomena in manufacturing.",Associate Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/n52edbe7e
Ladan,Panahi,Assistant Professor,,Assistant Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/n1445c0b4
Vijaykumar,Panchang,Professor,"Professor Panchang's teaching interests include fluid mechanics, open channel hydraulics, wave mechanics, and numerical methods for coastal and ocean processes.<br /><br /><br /><br />Professor Panchang's expertise lies in the area of coastal hydraulics in general and mathematical modeling (computer simulations) of coastal ocean processes in particular. He has developed wave prediction models like CGWAVE and coastal circulation models which have found wide usage among government and consulting engineers. Typically, Dr. Panchang's work is aimed at predicting wave and current conditions for applications such as port design, containment transport, design of offshore facilities, etc.",Professor||Professor,Mechanical Engineering (Qatar)||Ocean Engineering,https://scholars.library.tamu.edu/vivo/display/n35757a82
Hao,Pang,TTI Assistant Research Scientist,,TTI Assistant Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/ncf124322
Adelaide,Pangemanan,Instructional Assistant Professor,,Instructional Assistant Professor,Foundational Sciences,https://scholars.library.tamu.edu/vivo/display/nf1e6664e
Vladislav,Panin,Professor,"It has been long recognized that glycans play a wide spectrum of essential roles in metazoan organisms, while defects in glycosylation are involved in numerous human diseases and abnormalities, from cancer to brain malformation and defects of immune system. However, the complexity of glycosylation pathways and limitations of genetic and in vivo approaches available for studying glycosylation in higher animals significantly impede the research in mammals. We are using the advantages of Drosophila model system, including its decreased genetic redundancy, powerful arsenal of molecular genetic approaches, and comprehensively characterized development, to elucidate mechanisms underlying the function of glycosylation in development and physiology. We employ a multidisciplinary approach to study the roles of several novel glycosyltransferase genes at molecular, cellular, and organismal levels. Currently, our laboratory is involved in two main projects: one project focuses on studying the function of sialylation in the central nervous system, while another project is aimed at elucidation of molecular mechanisms of protein O-mannosylation.",Professor,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/n337aaa32
Daria,Panina,Clinical Associate Professor,,Clinical Associate Professor,Management,https://scholars.library.tamu.edu/vivo/display/n8d4ee3d3
Terri,Pantuso,Dr. Pantuso,,Instructional Assistant Professor||Faculty Fellow for Academic Program Success,College of Liberal Arts||College of Liberal Arts,https://scholars.library.tamu.edu/vivo/display/nbc72b0ae
Michael,Paolini,Instructional Assistant Professor,,Instructional Assistant Professor,College of Medicine,https://scholars.library.tamu.edu/vivo/display/n40dba289
Grigoris,Paouris,Professor,,Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/n87924bf4
Margit,Pap,Lecturer,,Lecturer,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/n9dd1a039
Matthew,Papanikolas,Professor,"I have research interests in number theory and arithmetic geometry. I'm interested in elliptic curves and Drinfeld modules, and in particular I work on special values of analytic functions, including L-series, modular forms, and hypergeometric functions, and their connections with periods and logarithms.",Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/n579c3af3
Behnaz,Papari,Assistant Professor,,,,https://scholars.library.tamu.edu/vivo/display/n22acb328
Casey,Papovich,Professor,"My research focuses on areas of observational cosmology, the formation and evolution of the most distant galaxies, and the growth of large scale structures of galaxies. This research includes the study of the growth of galaxies and supermassive blackholes within galaxies, and utilizes data from NASA's space-based Great Observatories (Hubble, Spitzer, and Chandra), the NASA/ESA Herschel Space Observatory, and the largest terrestrial telescopes.",Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/nac7fd1c8
Valentini,Pappa,Manager of the Graduate Office,"Agro-environmental science, carbon sequestration, water and energy management, climate change focusing on greenhouse gas measurements and mitigation in agricultural systems. Dr. Pappa makes significant contributions in the environmental sector by combining existing knowledge to improve methodologies and data analysis; and examining crops under different farming systems. Dr. Pappa also focuses on how efficient and integrated management of energy, food and water resources can help address several of the biggest global challenges, such as climate change, economic, environmental and social security, developing an overview of the current integration of energy, food and water. She explores how innovative approaches such as a circular economy may address future challenges.",Faculty Affiliate||Program Coordinator I||Assistant Director of Education,Biological and Agricultural Engineering||Energy Institute||Energy Institute,https://scholars.library.tamu.edu/vivo/display/nad61fbd7
Gregory,Pappas,Professor,"Areas of Specialization:  Pragmatism, Classical American Philosophy, Ethical Theory, Latin American Philosophy, Socio-political Theory. <br /><br />Areas of Competence: Aesthetics, Philosophy of Technology, History of Philosophy.",Professor,Philosophy,https://scholars.library.tamu.edu/vivo/display/n48d141da
Konstantinos,Pappas,Project Manager III,"Dr. K. Pappas is the Project Manager of the Texas A&M Energy Institute, overseeing the administration of the Institute's projects and initiatives. Dr K. Pappas is Agricultural Engineer with an MSc in Agricultural Economics and he holds a PhD in Migration Economics. He counts 25 years of professional experience in program and project management, monitoring and evaluation. For 7 years he worked for the European Commission, Directorates General  ""Environment"" and ""Health"" being, among other tasks, responsible for projects focusing on circular economy, renewables, food safety, etc. implemented in most of European countries as well as on EU's neighboring countries Turkey, Jordan and Morocco. Dr. Pappas' research interests fall under the area of migration economics. His research focuses on rural migration, migration patterns and global environmental change, European Union migration policies and political institutions, migration and its relation to economic growth and impact on a country's resources, especially in the South Mediterranean region.",Project Manager,Energy Institute,https://scholars.library.tamu.edu/vivo/display/n1ec94449
Madhav,Pappu,Clinical Assistant Professor,,Clinical Assistant Professor,Information and Operations Management,https://scholars.library.tamu.edu/vivo/display/nfd05b77c
Megha,Parajulee,"Professor, Faculty Fellow, and Regents Fellow",,Professor||Professor,Lubbock Research and Extension Center||Entomology,https://scholars.library.tamu.edu/vivo/display/nd76fa3c8
James,Paramore,Visiting Assistant Professor,,Visiting Assistant Professor,Materials Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n148f6398
Lenin Marcelo,Paredes Tobar,Assistant Professor,Marcelo Paredes is an assistant professor in Ocean Engineering Department at Texas A&M University. Paredes joined TAMU after five years at MIT as a research scientist in the Impact and Crashworthiness Laboratory (ICL). Paredes obtained his Ph.D. in 2012 from University of Sao Paulo (USP) in the area of fracture mechanics. His research interests lie in the interface of physics and mechanics to develop predictive analytical and numerical models for solid materials (e.g. metals) with special application to ductile crack propagation in thick-walled components and stress corrosion cracking assessment and ductile-to-brittle transition behavior.,Assistant Professor,Ocean Engineering,https://scholars.library.tamu.edu/vivo/display/n9650ea99
Daniel,Paredes-Sabja,Associate Professor,,Associate Professor,Biology,https://scholars.library.tamu.edu/vivo/display/nb13dd3c4
Stephen,Parel,Adjunct Assistant Professor,,Adjunct Assistant Professor,Department of Comprehensive Dentistry,https://scholars.library.tamu.edu/vivo/display/n8a98a49c
Arun,Parihar,Lecturer,,Lecturer,Ocean Engineering,https://scholars.library.tamu.edu/vivo/display/ne53826d8
Janet,Parish,Clinical Professor,"My research interests include relationship marketing, services marketing, service innovation, customer service and satisfaction, and the role of frontline employees in service encounters.",Clinical Professor,Marketing,https://scholars.library.tamu.edu/vivo/display/nf2911938
Nancy,Parish,Lecturer,,Lecturer,Communication,https://scholars.library.tamu.edu/vivo/display/n45606dfe
Albert,Park,Adjunct Assistant Professor,,Adjunct Assistant Professor,Department of Comprehensive Dentistry,https://scholars.library.tamu.edu/vivo/display/nbad3fad7
Eun,Park,TTI Senior Research Scientist,"Dr. Park has over 23 years of experience in conducting advanced research on environmental concerns and transportation-related statistics issues. Her expertise includes environmental modeling and assessment of health effects of multiple air pollutants, modeling and analysis of transportation data, high-dimensional data analysis, latent variable models and factor analysis, spatial-temporal modeling and analysis, Bayesian hierarchical modeling, Bayesian model selection, and uncertainty assessment. <br /><br />Dr. Park has led air pollution research projects for developing enhanced statistical methods for assessing health effects of multiple air pollutants and for estimating traffic-related air pollution. She is currently co-leading a four-year, $2.16 million study funded by the National Institutes of Health (NIH), evaluating the impact of source-specific exposures to multiple air pollutants using innovative Bayesian spatial multivariate receptor models, neighborhood deprivation, and residential greenness on stillbirth, and assessing the effect modification due to race/ethnicity. She is also developing Bayesian hierarchical models accounting for exposure measurement errors to estimate associations between ambient pollutants and cognitive decline for another NIH-funded study, as well as collaborating with researchers from Seoul National University to extend Bayesian spatial multivariate receptor modeling for identifying high contributing source areas of PM2.5 in Siheung, Korea. <br /><br />Dr. Park has been leading modeling and data analysis tasks in many transportation research studies for Federal Highway Administration, National Cooperative Highway Research Program, Texas Department of Transportation, Transit Cooperative Research Program, and Bureau of Transportation Statistics. <br /><br />Dr. Park has authored or co-authored over 140 refereed journal papers or technical reports as well as a transportation statistics textbook titled 'Transportation Statistics and Microsimulation.' She was the recipient of the Transportation Research Board (TRB) Pedestrian Committee Outstanding Paper awards in 2006 and in 2009, the TTI/Trinity Researcher Award in 2010, and is the winner of the 2010 Patricia F. Waller Award (TRB), the 2011 D. Grant Mickle Award (TRB), the 2019 TRB Paratransit Committee Best Paper Award, and the 2021 TRB Safety Methods Committee Best Paper Award. Dr. Park is a Fellow of the American Statistical Association (ASA), an Elected Member of the International Statistical Institute (ISI), a Member of the TRB Statistical Methods Committee, and Editor for Statistics of the journal Chemometrics and Intelligent Laboratory Systems.",TTI Senior Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n2a18b79e
Hangue,Park,Assistant Professor,"Dr. Park's research interest lies in artificial sensory feedback and closed-loop optimization of sensorimotor loop, to assist incomplete body functions and enhance rehabilitation. He is also interested in human augmentation and performance enhancement. Developing smart bio-mimicking/bio-inspired circuits and systems is another crucial part of his research.",Assistant professor,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/n515531b2
John,Park,Professor and Extension Specialist,"Dr. Park focuses on the marketing and management of agribusinesses with an emphasis on cooperatives. On campus, he teaches courses on agricultural cooperation, business strategy, and marketing. Additionally, he trains cooperative business leaders throughout Texas and assists them with development, education, marketing, strategic planning, and other general aspects of business management.",Professor and Extension Specialist,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n03b54ce7
Josiah,Park,Visiting Assistant Professor,,Visiting Assistant Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/nde7c90f9
Sung Il,Park,Assistant Professor,"My lab conducts three lines of research; wireless optogenetics, biomedicine, wireless power transmission into biological tissues,  and photodynamic therapy for gastrointestinal cancers.<br /><br /><br /><br />We are developing soft neural interface platforms and soft wireless platform electronics that can control neural interfaces and integrate data transmission, signal processing, and power management. These works involve fabrication of stretchable electronic systems and development of novel antenna systems and integrated circuit systems. In parallel, we are studying novel methods to maximize wireless power transmission into biological tissues.",Assistant Professor,Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/naef793d2
William,Park,Professor,"Most of our work in the last few years has focused on manipulating starch biosynthesis in plants. This has led to the identification of a number of specific DNA polymorphisms that have a profound impact on the structure and functional properties of starch granules. Interestingly, the effect of some of these polymorphisms is temperature sensitive. For example, a key G/T polymorphism at the 5' leader intron splice site of rice granule bound starch synthase has little phenotypic effect at 18 ?C, but at 25 ?C it activates an alternate splice site that results in a premature open reading frame. At 32 ?C, a third nonconsensus TT/GT splice site is activated. This type of temperature sensitivity is one of the key factors responsible for the complex genotype x environment relationships seen in starch structure and represents a good target for manipulation via biotechnology. We have also worked with an industrial partner and a breeder to develop the first commercial rice varieties specifically tailored to work with a new type of processing technology and to identify the genes responsible for optimal raw material/process interactions. Other work in the laboratory is focused on the identification and manipulation of DNA polymorphisms associated with disease resistance and with herbicide resistance in the wild relatives of crop plants.",Professor,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/n7012b9fe
Yong Jong,Park,Adjunct Assistant Professor,,Adjunct Assistant Professor,Orthodontics,https://scholars.library.tamu.edu/vivo/display/n0e285f3d
Frederic,Parke,Professor,,Professor Emeritus,Visualization,https://scholars.library.tamu.edu/vivo/display/n0593f9ba
Dawn,Parker,Clinical Professor,,Clinical Professor,"Teaching, Learning and Culture",https://scholars.library.tamu.edu/vivo/display/n57d448ed
Gerald,Parker,Associate Dean,,"Associate Dean||Director	of	the	 Pandemic	and	Biosecurity	Policy	Program",Scowcroft Institute of International Affairs||College of Veterinary Medicine and Biomedical Sciences,https://scholars.library.tamu.edu/vivo/display/n3545b8bb
Jason,Parker,Professor and Cornerstone Faculty Fellow,"My broad research interests are U.S. foreign relations, decolonization and the Cold War, race and diplomacy, and Caribbean/inter-American affairs.",Faculty Affiliate||Professor,History||Albritton Center for Grand Strategy,https://scholars.library.tamu.edu/vivo/display/n556678e7
Carlos,Parra Carrasquer,Clinical Assistant Professor,,Clinical Assistant Professor,Periodontics,https://scholars.library.tamu.edu/vivo/display/na71180e4
Blake,Parrish,"Director of Marketing, Communications, and Public Relations","Graduating Magna Cum Laude from Mays Business School at Texas A&M University, Blake traveled throughout North America performing NASCAR driver marketing duties. Establishing relationships with media, brands and clients led him to PMG Austin. At the boutique agency, Blake directed the creative process and agency operations through leading a cross-functional team. At Rice University's Jones Graduate School of Business, he was involved in the Jones Student Association and led the Marketing Club as President. Blake interned at General Mills in Channel Marketing that Summer. After graduating from Rice University, he joined the Pizza Hut (Yum! Brands) Brand Marketing team. At Pizza Hut, Blake launched multiple national products and solidified core products through cross-functional leadership. In Fall 2017 he became the Director of Marketing, Communications and Public Relations at Mays Business School and influences content creation and marketing thought leadership for one of the top business schools in the country.",Director,Mays Business School,https://scholars.library.tamu.edu/vivo/display/n1a07da90
Melanie,Parry,Lecturer,,Lecturer,Hispanic Studies,https://scholars.library.tamu.edu/vivo/display/nf9a7914a
Hamid,Parsaei,Professor,"Dr. Parsaei previously served as the Associate Dean for Academic Affairs at Texas A&M University at Qatar as well as professor and chair of the Department of Industrial Engineering at the University of Houston for over nine years. Within the Institute of Industrial and Systems Engineers (IISE), he was the director of the Engineering Economy Divisions of IISE and ASEE and the IISE senior vice president-at-large (international), and a member of the board of trustees. He is a fellow of the Institute of Industrial and Systems Engineers (IISE), American Society for Engineering Education (ASEE), Society of Manufacturing Engineers (SME), and Industrial Engineering and Operations Management Society International (IEOM). He currently serves as the President of the IEOM (2021-2023).  He has acted as principal or co-principal investigator on projects sponsored by the National Science Foundation, U.S. Department of Homeland Security, US Department of Defense, Qatar National Research Fund, and Texas Department of Transportation, among many others.",Professor||Professor||Faculty Affiliate,Mechanical Engineering||Industrial and Systems Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/n0abb57fe
Srikanth,Paruchuri,Professor,"Dr. Paruchuri is B. Marie Oth Professor of Business Administration at Texas A&M's Mays Business School. His work focuses on innovation, entrepreneurship, and organizational misconduct scandals. The stream focused on innovation investigates evolution of organizational capabilities (specifically R&D capabilities), technologies, and technological industries from diverse theoretical perspectives including social networks (of individual scientists and of firms). The stream on entrepreneurship examines drivers of entrepreneurship and entrepreneurship-related outcomes. Examples include changes in levels of county-level entrepreneurship after World Trade Center attack and changes in levels and types of Zip code-level entrepreneurship surrounding entry of Walmart. Research on organizational misconduct investigates positive and negative consequences to perpetrators and innocent bystander firms and strategies adopted by them to benefit from or overcome those consequences.",Professor,Management,https://scholars.library.tamu.edu/vivo/display/nc88a984c
Joseph,Paschal,Professor and Extension Specialist,,Professor and Extension Specialist,Animal Science,https://scholars.library.tamu.edu/vivo/display/ne7c54ccc
Joseph,Pasciak,Professor,"My research focuses on large scale serial and parallel scientific computation, numerical and iterative methods for partial differential equations, multigrid and domain decomposition methods, electromagnetic problems and mixed finite element methods, and perfectly matched layer far field approximation for scattering problems.",Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/n60124716
Ashley,Passmore,Assistant Professor,,"Assistant Professor, German",International Studies,https://scholars.library.tamu.edu/vivo/display/n1f0519fb
Michael,Pate,Professor,My areas of energy expertise are broad and I am open to pursuing research in new energy areas.,Professor,Mechanical Engineering,https://scholars.library.tamu.edu/vivo/display/na13bcb3a
Paras,Patel,Assistant Professor,,Assistant Professor,Diagnostic Sciences,https://scholars.library.tamu.edu/vivo/display/n43312a34
Pooja,Patel,Clinical Assistant Professor,,Clinical Assistant Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/nbf7fbfaa
Rupande,Patel,Adjunct Assistant Professor,,Adjunct Assistant Professor,Pediatric Dentistry,https://scholars.library.tamu.edu/vivo/display/nf6ec42fb
Simmi,Patel,Clinical Assistant Professor,,Clinical Assistant Professor,Public Health Sciences,https://scholars.library.tamu.edu/vivo/display/n0960012c
Kristy,Pathakis,Visiting Assistant Professor,,Visiting Assistant Professor,Political Science,https://scholars.library.tamu.edu/vivo/display/n17c6e58e
Debdeep,Pati,Associate Professor,"My research centers around methodological aspects of Bayesian statistics and its application to large scale complex data. I am particularly focused on developing methodology in a broad range of areas including semi-parametric density regression, shrinkage priors for anisotropic function estimation, variable selection with non-Gaussian errors, massive covariance matrix estimation, surface reconstruction and imaging and modeling shapes of non-Euclidean objects. I enjoy developing methodology that has an immediate motivation and impact to a particular application area, while being broadly applicable and leading to foundational questions. In the Bayes paradigm this often involves developing new classes of flexible prior distributions for densities, conditional densities, functions, sparse vectors, matrices or tensors. It is fascinating to explore the structure of the spaces on which the priors are supported while studying how the posterior concentrates as increasing amounts of data are collected. Studying these spaces becomes more challenging outside of unconstrained Euclidean spaces, such as in studying closed surfaces and other shapes, and when the dimension explodes. While Bayesian hierarchical models offer an unified and coherent framework for structured modeling and inference, two key challenges persist. First, as one moves away from simple parametric models, understanding properties of a posterior distribution poses a stiff challenge. Second, even if the true posterior has desirable properties, sampling from the posterior distribution in large scale problems commonly face scalability issues. This is relevant both for high-dimensional and big data problems. My research aims at addressing these challenges simultaneously, developing new theory to evaluate the associated procedures and developing scalable and highly efficient algorithms for Bayesian computation.",Associate Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/ndbea61f5
Bhimanagouda,Patil,"Leonard Pike Inagural University Professor and Interim Head, Food Science and Technology","Dr. Bhimu Patil is internationally recognized for his expertise and research on 'foods for health' and his related educational programs. His systems-wide farm-to-table approaches include examining pre- and postharvest effects on bioactive compounds, isolating and characterizing these compounds from different fruits and vegetables, and understanding their roles in human health. Moreover, he has a strong working relationship with produce industry stakeholders. Dr. Patil has a distinguished record of achievements in education, including leading the development of three unique courses linking agriculture, human health, and sustainability. Texas A&M University has been a leader in this area, due in part to Dr. Patil's seminal contributions in these first-of-their-kind multidisciplinary courses. Dr. Patil's contributions to education are no less distinguished. He developed and taught three unique, innovative multi-state and multi-disciplinary courses, ""Phytochemicals in Fruits and Vegetables to Improve Human Health"", ""Science of Foods for Health"" and ""The Nexus of Food & Nutritional Security, Hunger, and Sustainability"".",Professor||Professor,Nutrition||Horticultural Sciences,https://scholars.library.tamu.edu/vivo/display/n9a0e203e
Dawn,Patillo,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/nadf5baa2
Charles,Patrick,Professor of the Practice,"His current research within the Ideas to Innovation Engineering Education Excellence Laboratory focuses on enhancing undergraduate and graduate student learning, engagement and workforce development by transforming biomedical engineering education through scholarship and research of innovative teaching and learning practices and technologies.",Professor of the Practice,Biomedical Engineering,https://scholars.library.tamu.edu/vivo/display/nb2ed7577
Kristin,Patrick,Assistant Professor,"My interests lie in understanding the precise spatial-temporal resolution of RNA processing events in Mtb infected macrophages during early infection, focusing on the following questions:  Are gene expression changes upon Mtb infection regulated post-transcriptionally (i.e. at the level of pre-mRNA splicing, mRNA release from chromatin, or mRNA export)? Does Mtb hijack normal post-transcriptional RNA processing events in order to promote its survival in the macrophage? Are Mtb-induced changes dependent on the ESX-1 secretion system and can we implicate any specific bacterial gene products? Working alongside Dr. Robert Watson, my group will work to understand how regulation of RNA metabolism can influence early stages of Mtb pathogenesis, with the eventual goal of modulating said pathways in order to control Mtb infection.",Assistant Professor,Microbial Pathogenesis and Immunology,https://scholars.library.tamu.edu/vivo/display/n6431d695
